Company,9/30/2008
MAGELLAN HEALTH INC,-5.7
MAGELLAN MIDSTREAM PTNRS L P,-12.9
MAGELLAN PETROLEUM CORP,-31.5
MAGIC SOFTWARE ENTERPRISES LTD,-15.7
MAGICJACK VOCALTEC LTD,-17.1
MAGNA INTERNATIONAL INC,-10.6
MAGYAR BANCORP INC,-9.7
MAINSOURCE FINANCIAL GROUP INC,9.0
MAJESCO ENTERTAINMENT CO,-9.5
MANHATTAN ASSOCIATES INC,-8.9
MANITEX INTERNATIONAL INC,-14.7
MANITOWOC CO INC,-38.2
MANNATECH INC,-9.3
MANNKIND CORP,18.8
MANPOWER INC WIS,-10.2
MANTECH INTERNATIONAL CORP,0.7
MANULIFE FINANCIAL CORP,2.5
MARATHON OIL CORP,-11.5
MARCHEX INC,-8.7
MARCUS CORP,-6.4
MARINE PETROLEUM TRUST,-18.6
MARINE PRODUCTS CORP,2.1
MARINEMAX INC,-8.7
MARKEL CORP,-5.0
MARKET VECTORS E T F TRUST,-10.2
MARKET VECTORS E T F TRUST,-34.7
MARKETAXESS HLDGS INC,-19.7
MARLIN BUSINESS SVCS CORP,9.4
MARRIOTT INTERNATIONAL INC NEW,-7.2
MARSH & MCLENNAN COS INC,-0.5
MARTEN TRANSPORT LTD,-2.2
MARTIN MARIETTA MATERIALS INC,-0.8
MARTIN MIDSTREAM PARTNERS LP,-35.5
MARVELL TECHNOLOGY GROUP LTD,-34.1
MASCO CORP,-5.9
MASTEC INC,-5.9
MASTERCARD INC,-26.9
MATRIX SERVICE CO,-27.3
MATTEL INC,-6.7
MATTHEWS INTERNATIONAL CORP,1.0
MAUI LAND & PINEAPPLE CO INC,2.5
MAXIMUS INC,-0.4
MAXWELL TECHNOLOGIES INC,7.9
MCCLATCHY CO,23.7
MCCORMICK & CO INC,-4.9
MCCORMICK & CO INC,-5.4
MCDERMOTT INTERNATIONAL INC,-26.4
MCDONALDS CORP,-0.5
MCEWEN MINING INC,4.8
MCGRATH RENTCORP,1.1
MCGRAW HILL COS INC,-26.2
MCKESSON H B O C INC,-6.9
MEADWESTVACO CORP,-12.0
MECHEL O A O,-34.3
MEDALLION FINANCIAL CORP,0.9
MEDIA GENERAL INC,1.1
MEDICAL PROPERTIES TRUST INC,5.3
MEDICINES COMPANY,-4.7
MEDICINOVA INC,-42.8
MEDIFAST INC,-17.9
MEDNAX INC,-5.3
MEDTRONIC INC,-8.2
MELCO CROWN ENTERTAINMENT LTD,-39.5
MENS WEARHOUSE INC,-2.7
MENTOR GRAPHICS CORP,-7.0
MERCANTILE BANK CORP,-7.8
MERCER INTERNATIONAL INC,-40.1
MERCHANTS BANCSHARES INC,-4.4
MERCK & CO INC,-10.5
MERCURY COMPUTER SYSTEMS,-3.8
MERCURY GENERAL CORP NEW,8.6
MEREDITH CORP,-1.2
MERIDIAN BIOSCIENCE INC,2.2
MERIT MEDICAL SYSTEMS INC,-3.0
MERITAGE HOMES CORP,5.5
MESA LABORATORIES INC,3.7
MESA ROYALTY TRUST,-17.7
MESABI TRUST,-25.5
META FINANCIAL GROUP INC,-9.8
METABOLIX INC,-5.6
METHANEX CORP,-20.5
METHODE ELECTRONICS INC,-18.7
METLIFE INC,3.3
METTLER TOLEDO INTERNATIONAL INC,-6.8
MEXCO ENERGY CORP,-40.5
MEXICO EQUITY & INCOME FUND,-19.5
MEXICO FUND INC,-14.1
MICROBOT MEDICAL INC,-15.6
MICROCHIP TECHNOLOGY INC,-8.1
MICRON TECHNOLOGY INC,-4.5
MICROSEMI CORP,-7.3
MICROSOFT CORP,-2.2
MICROSTRATEGY INC,-7.2
MICROVISION INC WA,-25.4
MID AMERICA APT COMMUNITIES INC,-2.0
MID PENN BANCORP INC,-5.8
MIDCAP SPDR TRUST,-10.8
MIDDLEBURG FINANCIAL CORP,-2.6
MIDDLEBY CORP,1.8
MIDDLESEX WATER CO,-1.4
MIDSOUTH BANCORP INC,-7.2
MILLER HERMAN INC,-13.0
MILLER INDUSTRIES INC TENN,-11.5
MINCO GOLD CORP,-22.6
MIND C T I LTD,3.8
MINERALS TECHNOLOGIES INC,-9.6
MISONIX INC,-20.7
MITCHAM INDUSTRIES INC,-34.0
MITSUBISHI UFJ FINANCIAL GP INC,15.4
MIZUHO FINANCIAL GROUP INC,1.4
MOBILE MINI INC,-9.6
MOBILE TELESYSTEMS OJSC,-17.6
MODINE MANUFACTURING CO,-8.5
MOHAWK INDUSTRIES INC,-2.4
MOLINA HEALTHCARE INC,-1.5
MOLSON COORS BREWING CO,-1.9
MOMENTA PHARMACEUTICALS INC,-8.6
MONARCH CASINO & RESORT INC,-14.9
MONEYGRAM INTERNATIONAL INC,-16.5
MONMOUTH REAL ESTATE INVT CORP,7.2
MONOLITHIC PWR SYS INC,-28.6
MONRO MUFFLER BRAKE INC,11.2
MONSANTO CO NEW,-13.4
MOODYS CORP,-16.4
MOOG INC,-9.5
MORGAN STANLEY ASIA PAC FD INC,-17.2
MORGAN STANLEY CHINA A SHARE FD,-15.0
MORGAN STANLEY DEAN WITTER & CO,-43.7
MORGAN STANLEY EMG MKS FD INC N,-17.2
MORGAN STANLEY EMRG MKTS FD INC,-19.3
MORGAN STANLEY INDIA INV FD INC,-17.6
MORGAN STANLEY TRUSTS,-13.8
MORNINGSTAR INC,-15.1
MOSAIC COMPANY,-36.3
MOSYS INC,-6.6
MOTOROLA INC,-23.7
MOUNTAIN PROVINCE DIAMONDS INC,-23.3
MOVADO GROUP INC,-3.6
MUELLER INDUSTRIES INC,-18.0
MUELLER WATER PRODUCTS INC,-17.4
MULTI COLOR CORP,2.4
MURPHY OIL CORP,-18.3
MUTUALFIRST FINL INC,-6.1
MYERS INDUSTRIES INC,-3.7
MYLAN INC,-11.4
MYRIAD GENETICS INC,-4.9
N B T BANCORP INC,19.3
N C I BUILDING SYSTEMS INC,-17.1
N C I INC,6.3
N C R CORP NEW,-16.7
N G P CAPITAL RESOURCES CO,-8.0
N I C INC,-0.3
N L INDUSTRIES INC,-1.2
N N INC,-21.7
N R G ENERGY INC,-34.2
N T N BUZZTIME INC,-18.5
N T T DOCOMO INC,3.2
N V E CORP,-8.7
N V R INC,-4.3
NABORS INDUSTRIES LTD,-30.0
NACCO INDUSTRIES INC,-19.6
NAM TAI ELECTRONICS INC,-12.7
NANOMETRICS INC,-41.9
NAPCO SECURITY SYSTEMS INC,-28.7
NASDAQ INC,-6.5
NATHANS FAMOUS INC NEW,-0.6
NATIONAL BANKSHARES INC,-4.6
NATIONAL BEVERAGE CORP,-2.7
NATIONAL FUEL GAS CO N J,-10.2
NATIONAL GRID PLC,-2.1
NATIONAL HEALTH INVESTORS INC,6.2
NATIONAL HEALTHCARE CORP,-4.7
NATIONAL INSTRUMENTS CORP,-6.9
NATIONAL OILWELL VARCO INC,-31.9
NATIONAL PRESTO INDS INC,-3.6
NATIONAL RESEARCH CORP,-3.8
NATIONAL RETAIL PROPERTIES INC,5.6
NATIONAL WESTERN LIFE GROUP INC,1.1
NATURAL ALTERNATIVES INTL INC,-8.4
NATURAL GAS SERVICES GROUP INC,-32.7
NATURAL RESOURCE PARTNERS L P,-27.0
NATUS MEDICAL INC,-7.9
NATUZZI S P A,0.9
NAUTILUS INC,-14.1
NAVIGANT CONSULTING INC,14.9
NAVIGATORS GROUP INC,10.7
NAVIOS MARITIME HOLDINGS INC,-51.7
NEENAH PAPER INC,2.0
NEKTAR THERAPEUTICS,-9.6
NELNET INC,-9.7
NEOGEN CORP,8.1
NET 1 UEPS TECHNOLOGIES INC,-16.7
NETAPP INC,-28.5
NETEASE COM INC,-12.7
NETFLIX INC,0.1
NETGEAR INC,-11.0
NETLIST INC,-42.1
NETSCOUT SYSTEMS INC,-28.6
NETSOL TECHNOLOGIES INC,-39.2
NEUBERGER BERMAN CA INT MU FD IN,-5.7
NEUBERGER BERMAN INTER FD INC,-10.2
NEUBERGER BERMAN NY INT MU FD IN,-10.6
NEUBERGER BERMAN REAL ESTATE SEC,-17.5
NEUROCRINE BIOSCIENCES INC,-9.3
NEUROMETRIX INC,-10.6
NEUSTAR INC,-17.2
NEVADA GOLD & CASINOS INC,-29.3
NEVSUN RESOURCES LTD,-27.3
NEW AMERICA HIGH INCOME FUND INC,-22.5
NEW CENTURY BANCORP INC NC,-23.1
NEW ENGLAND REALTY ASSOC L P,-8.4
NEW GERMANY FUND INC,-25.2
NEW GOLD INC,-3.5
NEW IRELAND FUND INC,-20.2
NEW JERSEY RES,0.0
NEW ORIENTAL EDUC & TECH GP INC,-13.3
NEW YORK & CO INC,-19.2
NEW YORK COMMUNITY BANCORP INC,1.8
NEW YORK TIMES CO,10.0
NEWELL BRANDS INC,-4.6
NEWFIELD EXPLORATION CO,-29.3
NEWMARKET CORP,-22.3
NEWMONT MINING CORP,-13.8
NEWPARK RESOURCES INC,-14.9
NEWS CORP,-14.9
NEWS CORP,-15.0
NEWSTAR FINANCIAL INC,-8.1
NEWTEK BUSINESS SVCS CORP,-26.5
NEXSTAR BROADCASTING GROUP INC,-38.5
NEXXUS LIGHTING INC,-11.0
NICE LTD,-11.0
NICHOLAS FINANCIAL INC,-17.5
NIKE INC,10.8
NIPPON TELEGRAPH & TELPHONE CORP,-8.1
NISOURCE INC,-10.4
NOBLE CORP,-12.7
NOBLE ENERGY INC,-22.5
NOKIA CORP,-25.9
NOMURA HOLDINGS INC,-1.1
NORDIC AMERICAN TANKER SHPG LTD,-8.9
NORDSON CORP,-8.4
NORDSTROM INC,-7.3
NORFOLK SOUTHERN CORP,-10.0
NORTECH SYSTEMS INC,-35.3
NORTH AMERICAN ENERGY PTNRS INC,-37.2
NORTH EUROPEAN OIL RTY TR,-14.5
NORTHEAST BANCORP,0.6
NORTHERN DYNASTY MINERALS LTD,-33.6
NORTHERN TECHNOLOGIES INTL CORP,-8.3
NORTHERN TRUST CORP,-9.8
NORTHRIM BANCORP INC,-0.1
NORTHROP GRUMMAN CORP,-12.1
NORTHSTAR REALTY FINANCE CORP,8.4
NORTHWEST BANCORP INC PA,-0.7
NORTHWEST NATURAL GAS CO,6.7
NORTHWEST PIPE CO,-24.7
NORTHWESTERN CORP,-3.2
NORWOOD FINANCIAL CORP,-4.1
NOVA MEASURING INSTRUMENTS LTD,-1.3
NOVACEA INC,-37.9
NOVAGOLD RESOURCES INC,0.5
NOVARTIS A G,-5.0
NOVAVAX INC,5.1
NOVELION THERAPEUTICS INC,-16.8
NOVO NORDISK A S,-7.8
NOVOGEN LTD,-25.9
NU SKIN ENTERPRISES INC,-3.2
NUANCE COMMUNICATIONS INC,-22.8
NUCOR CORP,-23.8
NUMEREX CORP NY,-22.0
NUSTAR ENERGY L P,-14.0
NUSTAR G P HOLDINGS LLC,-17.2
NUTRACEUTICAL INTERNATIONAL CORP,-8.7
NUTRISYSTEM INC,-10.8
NUVASIVE INC,3.5
NUVEEN AMT FREE MUNI CRED INC FD,-14.6
NUVEEN AMT FREE MUNI INC FUND,-18.6
NUVEEN AZ PREM INCOME MUN FD INC,-9.1
NUVEEN CA AMT FREE MUNI INC FD,-16.2
NUVEEN CALIFORNIA DIV ADV MUN FU,-19.2
NUVEEN CALIFORNIA MUN VALUE FD,-6.0
NUVEEN CREDIT STRATEGIES INC FD,-30.9
NUVEEN CT PREMIUM INCOME MUNI FD,-14.6
NUVEEN DIVERSIFIED DIV & INC FD,-20.5
NUVEEN DIVIDEND ADV MUN FD 3,-14.0
NUVEEN DIVIDEND ADV MUN FUND,-14.6
NUVEEN EQUITY PREMIUM & GRWTH FD,-11.0
NUVEEN EQUITY PREMIUM INCOME FD,-12.1
NUVEEN FLOATING RATE INC OPP FD,-22.9
NUVEEN FLOATING RATE INCOME FUND,-22.7
NUVEEN GA DIV ADV MUNI FD 2,-16.9
NUVEEN INS NY TX FR ADV MUN FD,-13.9
NUVEEN INSU CA SEL TF INC PORT,-12.7
NUVEEN INSU NY SELE TF INC PORT,-8.6
NUVEEN MA PREM INC MUN FD,-8.7
NUVEEN MARYLAND PREM INC MUN FD,-12.5
NUVEEN MI QLTY INC MUNI FD INC,-14.0
NUVEEN MISSOURI PREM INC MUN FD,-9.9
NUVEEN MULTI STRAT INC & GRTH FD,-28.7
NUVEEN MUNCIPAL INCOME FUND INC,-13.7
NUVEEN MUNICIPAL HIGH INC OP FD,-13.0
NUVEEN MUNICIPAL VALUE FUND,-2.6
NUVEEN NC PREMIUM INCOME MUNI FD,-15.8
NUVEEN NEW YORK MUN VALUE FUND,-4.5
NUVEEN NJ DIVIDEND ADV MUNI FD,-16.3
NUVEEN NY DIVIDEND ADV MUNI FD,-11.3
NUVEEN OH QLTY INCOME MUN FD INC,-14.6
NUVEEN PA INVT QUALITY MUNI FUND,-16.6
NUVEEN PFD SECURITIES INCOME FD,-36.2
NUVEEN REAL ESTATE INC FD,-20.6
NUVEEN SEL TAX FREE INC PORT 3,-10.4
NUVEEN SELECT MATURITIES MUN FD,-8.9
NUVEEN SELECT TAX FREE INC PORT,-8.0
NUVEEN SELECT TAX FREE INC PORT2,-8.0
NUVEEN SENIOR INCOME FUND,-20.8
NUVEEN TAX ADV TOT RET STRAT FD,-26.2
NUVEEN TX QLTY INCOME MUNI FD,-12.2
NUVEEN VA QUALITY MUNI INCOME FD,-8.5
NVIDIA CORP,-15.3
NXSTAGE MEDICAL INC,11.1
NYMOX PHARMACEUTICAL CORP,-2.1
O F G BANCORP,4.2
O G E ENERGY CORP,-8.4
O R I X CORP,1.4
O REILLY AUTOMOTIVE INC,-8.1
O S I SYSTEMS INC,1.3
O2MICRO INTERNATIONAL LTD,-31.5
OCCIDENTAL PETROLEUM CORP,-10.8
OCCULOGIX INC,-22.4
OCEAN BIO CHEM INC,-8.6
OCEANEERING INTERNATIONAL INC,-14.6
OCEANFIRST FINANCIAL CORP,0.4
OCWEN FINANCIAL CORP,15.5
ODYSSEY MARINE EXPLORATION INC,-9.0
OFFICE DEPOT INC,-17.3
OHIO VALLEY BANC CORP,-2.2
OIL DRI CORP OF AMERICA,-8.0
OIL STATES INTERNATIONAL INC,-36.5
OLD DOMINION FREIGHT LINE INC,-14.8
OLD LINE BANCSHARES,4.1
OLD NATIONAL BANCORP,14.9
OLD POINT FINL CORP,12.5
OLD REPUBLIC INTERNATIONAL CORP,18.2
OLD SECOND BANCORP INC,10.3
OLIN CORP,-27.9
OLYMPIC STEEL INC,-38.1
OMEGA FLEX INC,4.6
OMEGA HEALTHCARE INVESTORS INC,10.2
OMEGA PROTEIN CORP,-13.4
OMNICELL INC,-14.3
OMNICOM GROUP INC,-8.7
OMNOVA SOLUTIONS INC,-31.1
ON ASSIGNMENT INC,-16.6
ON SEMICONDUCTOR CORP,-28.6
ON TRACK INNOVATIONS LTD,-6.5
ONCOGENEX PHARMACEUTICALS INC,-33.8
ONE LIBERTY PROPERTIES INC,0.3
ONEBEACON INSURANCE GROUP LTD,-0.2
ONEOK INC NEW,-21.3
ONEOK PARTNERS L P,-15.5
ONVIA INC,-4.4
OPEN TEXT CORP,-1.4
OPEXA THERAPEUTICS INC,-92.0
OPPENHEIMER HOLDINGS INC,-6.5
OPTIBASE LTD,-15.7
OPTICAL CABLE CORP,-40.3
ORACLE CORP,-7.4
ORASURE TECHNOLOGIES INC,-1.4
ORBCOMM INC,-14.4
ORBOTECH LTD,-26.0
ORCHIDS PAPER PRODUCTS CO,-9.7
ORIGIN AGRITECH LTD,7.5
ORMAT TECHNOLOGIES INC,-27.5
ORTHOFIX INTERNATIONAL N V,-23.1
OSHKOSH CORP,-14.7
OSIRIS THERAPEUTICS INC NEW,25.6
OTTER TAIL CORP,-22.6
OVERSTOCK COM INC DEL,-6.3
OWENS & MINOR INC NEW,5.6
OWENS CORNING NEW,-1.2
OWENS ILL INC,-34.1
OXFORD INDUSTRIES INC,13.0
P & F INDUSTRIES INC,-7.8
P A M TRANSPORTATION SVCS INC,-26.1
P B BANCORP INC,-2.2
P C M FUND INC,-17.6
P C M INC,-28.6
P C TEL INC,-7.8
P D C ENERGY INC,-27.0
P D F SOLUTIONS INC,-18.1
P D L BIOPHARMA INC,-22.9
P G & E CORP,-8.4
P G T INC,-40.6
P H H CORP,-12.9
P H I INC,0.0
P H I INC,-3.9
P I C O HOLDINGS INC,-24.6
P I M C O STRATEGIC GLOBAL GOV F,-7.0
P L D T INC,-5.0
P N C FINANCIAL SERVICES GRP INC,3.8
P N M RESOURCES INC,-13.1
P P G INDUSTRIES INC,-7.2
P P L CORP,-14.7
P R A GROUP INC,14.3
P R G SCHULTZ INTERNATIONAL INC,-24.0
P S BUSINESS PARKS INC CA,7.8
P T C INC,-8.4
P V H CORP,-0.4
PACCAR INC,-11.3
PACHOLDER HIGH YIELD FUND INC,-17.8
PACIFIC CONTINENTAL CORP,19.7
PACIFIC ETHANOL INC,-32.5
PACIFIC MERCANTILE BANCORP,-3.5
PACIFIC PREMIER BANCORP INC,-9.2
PACKAGING CORP AMERICA,-8.8
PAIN THERAPEUTICS INC,4.5
PALATIN TECHNOLOGIES INC,0.0
PAN AMERICAN SILVER CORP,-16.4
PANERA BREAD CO,-5.3
PANHANDLE OIL & GAS INC,-20.9
PAPA JOHNS INTL INC,-2.7
PAR TECHNOLOGY CORP,-10.8
PAREXEL INTERNATIONAL CORP,-9.8
PARK ELECTROCHEMICAL CORP,-13.5
PARK NATIONAL CORP,27.2
PARK OHIO HOLDINGS CORP,-8.3
PARKE BANCORP INC,-16.1
PARKER DRILLING CO,-13.5
PARKER HANNIFIN CORP,-17.3
PARKERVISION INC,-7.4
PARTNER COMMUNICATIONS CO LTD,-13.6
PATHFINDER BANCORP INC,-27.4
PATRICK INDUSTRIES INC,-20.6
PATRIOT NATIONAL BANCORP INC,-14.5
PATTERSON COMPANIES INC,-6.5
PATTERSON U T I ENERGY INC,-29.0
PAYCHEX INC,-3.1
PC CONNECTION INC,-11.9
PEAPACK GLADSTONE FINANCIAL CORP,14.2
PEARSON PLC,-12.1
PEGASYSTEMS INC,-11.7
PENGROWTH ENERGY CORP,-14.6
PENN NATIONAL GAMING INC,-21.4
PENN WEST ENERGY TRUST,-16.8
PENNEY J C CO INC,-14.4
PENNS WOODS BANCORP INC,-2.3
PENNSYLVANIA REAL ESTATE INVT TR,-5.0
PENSKE AUTOMOTIVE GROUP INC,-13.4
PEOPLES BANCORP INC,7.1
PEOPLES BANCORP NC INC NEW,1.6
PEOPLES BANK BRIDGEPORT,7.4
PEOPLES FINANCIAL CORP MS,-7.0
PEPSICO INC,4.7
PERCEPTRON INC,-26.7
PEREGRINE PHARMACEUTICALS INC,3.4
PERFICIENT INC,-16.4
PERINI CORP,-3.4
PERKINELMER INC,-12.1
PERMA FIX ENVIRONMENTAL SVCS INC,-16.4
PERMIAN BASIN RTY TR,-3.9
PERRIGO CO,9.9
PERUSAHAAN P P P T TELEKOM INDO,-14.5
PETMED EXPRESS INC,10.3
PETROBRAS ENERGIA PARTICIPAC S A,-13.2
PETROCHINA CO LTD,-19.0
PETROLEO BRASILEIRO SA PETROBRAS,-16.7
PETROQUEST ENERGY INC,-17.0
PFIZER INC,-3.5
PFSWEB INC,-25.6
PHOTOMEDEX INC,-15.7
PHOTRONICS INC,-42.5
PIER 1 IMPORTS INC DE,-6.6
PIMCO CA MUNICIPAL INCOME FD III,-19.6
PIMCO CALIFORNIA MUNI INC FD,-6.2
PIMCO CALIFORNIA MUNI INC FD II,-17.4
PIMCO CORP & INCOME STRATEGY FD,-32.0
PIMCO CORPORATE & INCOME OPP FD,-23.9
PIMCO FLOATING RATE INCOME FUND,-25.4
PIMCO FLOATING RATE STRATEGY FD,-24.4
PIMCO GLOBAL STOCKSPLUS & INC FD,-22.1
PIMCO HIGH INCOME FD,-24.7
PIMCO MUNICIPAL INC FD,-16.2
PIMCO MUNICIPAL INCOME FD II,-13.9
PIMCO MUNICIPAL INCOME FD III,-20.6
PIMCO NEW YORK MUNICIPAL FD II,-20.5
PIMCO NEW YORK MUNICIPAL INC FD,-16.6
PIMCO NY MUNICIPAL INCOME FD III,-18.1
PINNACLE FINANCIAL PARTNERS INC,21.6
PINNACLE WEST CAPITAL CORP,-2.2
PIONEER DRILLING CO,-20.6
PIONEER FLOATING RATE TRUST,-21.9
PIONEER HIGH INCOME TRUST,-21.1
PIONEER MUNICIPAL HIGH INC ADVNT,-22.2
PIONEER MUNICIPAL HIGH INC TRUST,-19.5
PIONEER NATURAL RESOURCES CO,-17.0
PIPER JAFFRAY COMPANIES,13.8
PITNEY BOWES INC,-2.6
PITTSBURGH & WEST VIRGINIA RR,-1.7
PIXELWORKS INC,-16.1
PIZZA INN HOLDINGS INC,-5.4
PLAINS ALL AMERN PIPELINE L P,-16.9
PLANTRONICS INC NEW,-12.7
PLEXUS CORP,-26.2
PLUG POWER INC,-63.5
PLUMAS BANCORP,-2.3
POINTER TELOCATION LTD,-22.1
POLARIS INDUSTRIES INC,0.9
POLO RALPH LAUREN CORP,-12.1
POLYMET MINING CORP,-32.1
POLYONE CORP,-21.4
POOL CORP,-3.8
POPULAR INC,2.7
PORTER BANCORP INC,-3.3
PORTLAND GENERAL ELECTRIC CO,-6.7
POSCO,-12.8
POTASH CORP SASKATCHEWAN INC,-24.0
POTLATCH CORP NEW,-0.6
POWELL INDUSTRIES INC,-7.6
POWERSHARES D B COMM IDX TRK FD,-10.2
POWERSHARES E T F TRUST,-11.3
POWERSHARES E T F TRUST,-10.9
POWERSHARES E T F TRUST,10.5
POWERSHARES E T F TRUST,-20.3
POWERSHARES E T F TRUST,-24.9
POWERSHARES E T F TRUST,-13.4
POWERSHARES E T F TRUST,-6.2
POWERSHARES E T F TRUST,-14.8
POWERSHARES E T F TRUST,-9.5
POWERSHARES E T F TRUST,-11.7
POWERSHARES E T F TRUST,-11.2
POWERSHARES E T F TRUST,-8.4
POWERSHARES E T F TRUST,-11.0
POWERSHARES E T F TRUST,-14.5
POWERSHARES E T F TRUST,-4.3
POWERSHARES E T F TRUST,-16.2
POWERSHARES E T F TRUST,-15.5
POWERSHARES E T F TRUST,-4.5
POWERSHARES E T F TRUST,-7.9
POWERSHARES E T F TRUST,-6.6
POWERSHARES E T F TRUST,-11.3
POWERSHARES E T F TRUST,0.0
POWERSHARES E T F TRUST,-6.1
POWERSHARES E T F TRUST,-8.3
POWERSHARES E T F TRUST,-22.7
POWERSHARES E T F TRUST,-15.6
POWERSHARES E T F TRUST,-17.9
POWERSHARES E T F TRUST,-12.0
POWERSHARES E T F TRUST,-16.2
POWERSHARES E T F TRUST,-8.5
POWERSHARES E T F TRUST,-15.5
POWERSHARES E T F TRUST,-6.5
POWERSHARES E T F TRUST,-11.0
POWERSHARES E T F TRUST,-19.7
POWERSHARES E T F TRUST,-6.2
POWERSHARES E T F TRUST,-21.5
POWERSHARES E T F TRUST,-13.7
POWERSHARES E T F TRUST,-7.9
POWERSHARES E T F TRUST,-14.5
POWERSHARES E T F TRUST,-4.0
POWERSHARES E T F TRUST,-18.2
POWERSHARES E T F TRUST,-2.4
POWERSHARES E T F TRUST,-13.4
POWERSHARES E T F TRUST,-21.4
POWERSHARES E T F TRUST,-27.1
POWERSHARES E T F TRUST,-12.8
POWERSHARES E T F TRUST,-9.1
POWERSHARES E T F TRUST,-13.4
POWERSHARES E T F TRUST,-9.4
PRANA BIOTECHNOLOGY LTD,-9.1
PRAXAIR INC,-19.7
PRECISION DRILLING CORP,-21.1
PREFERRED BANK LOS ANGELES,14.6
PREFORMED LINE PRODUCTS CO,6.9
PREMIER FINANCIAL BANCORP INC,3.8
PRESTIGE BRANDS HOLDINGS INC,-6.5
PRICELINE COM INC,-26.4
PRICESMART INC,-21.2
PRIMEENERGY CORP,-3.5
PRINCIPAL FINANCIAL GROUP INC,-5.0
PRIVATEBANCORP INC,36.3
PRO DEX INC COLO,-4.0
PROASSURANCE CORP,3.9
PROCTER & GAMBLE CO,-0.1
PROGENICS PHARMACEUTICALS INC,-3.1
PROGRESS SOFTWARE CORP,-11.0
PROGRESSIVE CORP OH,-5.8
PROPHASE LABS INC,-3.3
PROSHARES TRUST,-19.6
PROSHARES TRUST,-30.2
PROSHARES TRUST,-14.6
PROSHARES TRUST,-22.4
PROSHARES TRUST,7.8
PROSHARES TRUST,14.3
PROSHARES TRUST,4.4
PROSHARES TRUST,10.7
PROSHARES TRUST,18.4
PROSHARES TRUST,7.5
PROSHARES TRUST,29.8
PROSHARES TRUST,14.2
PROSPECT CAPITAL CORP,-5.6
PROSPERITY BANCSHARES INC,6.8
PROVIDENCE SERVICE CORP,-23.5
PROVIDENT FINANCIAL HOLDINGS INC,38.8
PROVIDENT FINANCIAL SVCS INC,8.3
PROVIDENT NEW YORK BANCORP,-4.5
PRUDENTIAL BANCORP INC NEW,-3.7
PRUDENTIAL FINANCIAL INC,-2.3
PRUDENTIAL PLC,-7.6
PSIVIDA CORP,-56.3
PSYCHEMEDICS CORP,-4.1
PUBLIC SERVICE ENTERPRISE GP INC,-18.8
PUBLIC STORAGE,12.7
PULTE GROUP INC,-3.4
PURE CYCLE CORP,-0.8
PUTNAM HIGH INCOME SECURITIES FD,-18.4
PUTNAM MANAGED MUNI INCOME TR,-3.4
PUTNAM MASTER INTER INCOME TR,-7.4
PUTNAM MUNICIPAL OPPTYS TR,-4.9
PUTNAM PREMIER INCOME TRUST,-6.4
PYRAMID OIL CO,-52.5
Q C R HOLDINGS INC,-0.4
QAD INC,5.2
QIAGEN NV,-6.8
QORVO INC,-24.7
QUAKER CHEMICAL CORP,-3.9
QUALCOMM INC,-18.4
QUALITY SYSTEMS INC,-0.6
QUALSTAR CORP,-6.6
QUANTA SERVICES INC,-15.4
QUANTUM CORP,-40.7
QUEST DIAGNOSTICS INC,-4.4
QUICKLOGIC CORP,-31.4
QUIDEL CORP,-16.1
QUMU CORP,-12.4
R B C BEARINGS INC,-15.6
R C M TECHNOLOGIES INC,-37.6
R F INDUSTRIES LTD,-36.0
R G C RESOURCES INC,-4.9
R L I CORP,11.5
R P C INC,-22.9
R P M INTERNATIONAL INC,-10.5
R T I BIOLOGICS INC,-0.3
RADA ELECTRONIC INDUSTRIES LTD,-16.8
RADCOM LTD,-27.0
RADIAN GROUP INC,31.6
RADIO ONE INC,-17.5
RADIO ONE INC,-28.6
RADISYS CORP,-22.3
RADWARE LTD,-14.6
RAIT FINANCIAL TRUST,-7.4
RAMBUS INC,-26.9
RAMCO GERSHENSON PROPERTIES TR,-1.0
RAND CAPITAL CORP,6.4
RANDGOLD RESOURCES LTD,-6.5
RANGE RESOURCES CORP,-7.6
RAVEN INDUSTRIES INC,-12.7
RAYMOND JAMES FINANCIAL INC,7.3
RAYONIER INC NEW,6.4
RAYTHEON CO,-10.8
RCI HOSPITALITY HOLDINGS INC,-29.7
READING INTERNATIONAL INC,-11.2
REALNETWORKS INC,-23.4
REALTY INCOME CORP,0.2
REAVES UTILITY INCOME FUND,-17.2
RED HAT INC,-28.2
RED LION HOTELS CORP,-6.0
RED ROBIN GOURMET BURGERS INC,0.4
REDWOOD TRUST INC,19.9
REED ELSEVIER N V,-11.2
REED ELSEVIER PLC,-12.4
REGAL BELOIT CORP,-9.1
REGAL ENTERTAINMENT GROUP,-4.1
REGENCY CENTERS CORP,7.6
REGENERON PHARMACEUTICALS INC,0.5
REGIONS FINANCIAL CORP NEW,4.6
REGIS CORP MINN,0.1
REINSURANCE GROUP OF AMERICA INC,12.1
REIS INC,-20.1
RELIANCE STEEL & ALUMINUM CO,-33.4
RELIV INTERNATIONAL INC,-4.7
RELM WIRELESS CORP,0.0
RENAISSANCERE HOLDINGS LTD,3.0
RENASANT CORP,15.7
RENT A CENTER INC NEW,-1.7
RENTECH INC,-43.6
REPLIGEN CORP,-12.3
REPROS THERAPEUTICS INC,-13.8
REPUBLIC BANCORP INC KY,2.7
REPUBLIC FIRST BANCORP INC,-4.2
