Company,9/30/2008
BARNWELL INDUSTRIES INC,-20.5
BARRETT BUSINESS SERVICES INC,-11.4
BARRICK GOLD CORP,5.8
BASIC ENERGY SERVICES INC,-27.1
BASSETT FURNITURE INDUSTRIES INC,-16.8
BAXTER INTERNATIONAL INC,-2.8
BAY BANCORP INC,-25.4
BAYTEX ENERGY CORP,-17.7
BBCN BANCORP INC,2.5
BBVA BANCO FRANCES SA,-17.2
BEACON ROOFING SUPPLY INC,-4.1
BEAR STATE FINANCIAL INC,30.8
BEASLEY BROADCAST GROUP INC,-47.6
BEAZER HOMES USA INC,-14.1
BEBE STORES INC,1.2
BECTON DICKINSON & CO,-7.8
BED BATH & BEYOND INC,2.4
BEL FUSE INC,-6.9
BEL FUSE INC,2.3
BELDEN C D T INC,-13.3
BELMOND LTD,-32.8
BEMIS CO INC,-6.1
BENCHMARK ELECTRONICS INC,-14.6
BERKLEY W R CORP,0.2
BERKSHIRE HATHAWAY INC DEL,12.0
BERKSHIRE HATHAWAY INC DEL,12.6
BERKSHIRE HILLS BANCORP INC,20.3
BEST BUY COMPANY INC,-16.2
BIG 5 SPORTING GOODS CORP,14.9
BIG LOTS INC,-5.9
BIGLARI HOLDINGS INC,11.6
BILL BARRETT CORP,-18.5
BIO RAD LABORATORIES INC,-7.9
BIO TECHNE CORP,-6.5
BIOANALYTICAL SYSTEMS INC,2.0
BIOCRYST PHARMACEUTICALS INC,-6.5
BIODELIVERY SCIENCES INTL INC,-34.8
BIOGEN IDEC INC,-1.3
BIOLASE INC,-26.2
BIOMARIN PHARMACEUTICAL INC,-12.1
BIOMIRA INC,-49.6
BIOSCRIP INC,-25.9
BIOVAIL CORP,-8.7
BIRKS & MAYORS INC,-33.3
BJS RESTAURANTS INC,2.6
BLACK BOX CORP DEL,-3.5
BLACK HILLS CORP,-8.1
BLACKBAUD INC,-8.6
BLACKBERRY LTD,-43.8
BLACKROCK CALIF MUN 2018 TERM TR,-13.4
BLACKROCK CALIF MUN INCOME TR,-5.7
BLACKROCK CAPITAL & INC STRAT FD,-19.3
BLACKROCK CORE BOND TRUST,-8.8
BLACKROCK CORP HI YLD FD VI INC,-19.8
BLACKROCK CREDIT ALL INC TR IV,-25.2
BLACKROCK DEBT STRATEGIES FD INC,-22.7
BLACKROCK ENERGY & RESOURCES TR,-23.6
BLACKROCK ENHANCED DIV ACHVRS TR,-10.1
BLACKROCK ENHANCED GOVT FD INC,-6.3
BLACKROCK FL INSD MUN INCOME TR,-15.2
BLACKROCK FLA MUN 2020 TERM TR,-14.5
BLACKROCK FLA MUN INCOME TR,-18.9
BLACKROCK FLOATING RATE INC TR,-17.4
BLACKROCK FLOATING RT INC STRAT,-23.3
BLACKROCK GLOBAL OPP EQUITY TR,-26.2
BLACKROCK HEALTH SCIENCES TRUST,-4.4
BLACKROCK INC,-10.5
BLACKROCK INCOME TRUST INC,-8.4
BLACKROCK INSURED MUN INC TR,-15.0
BLACKROCK INVEST QLTY MUNI TR IN,-21.2
BLACKROCK LONG TERM MUNI ADV TR,-19.0
BLACKROCK LTD DURATION INCOME TR,-13.6
BLACKROCK MA TAX EXEMPT TRUST,-13.7
BLACKROCK MARYLAND MUNI BD TR,-7.8
BLACKROCK MUN 2018 TERM TR,-8.3
BLACKROCK MUN INCOME TR,-19.3
BLACKROCK MUNI BOND TRUST,-17.0
BLACKROCK MUNI INTERM DUR FD INC,-12.3
BLACKROCK MUNI NY INTER DUR FUND,-15.1
BLACKROCK MUNIASSETS FUND INC,-12.2
BLACKROCK MUNICIPAL 2020 TERM TR,-18.3
BLACKROCK MUNICIPAL INCOME TR II,-21.5
BLACKROCK MUNIENHANCED FUND INC,-14.6
BLACKROCK MUNIHLDGS CA QLTY FD,-15.8
BLACKROCK MUNIHLDGS INV QLTY FD,-16.1
BLACKROCK MUNIHLDGS NJ QLTY FD,-14.2
BLACKROCK MUNIHLDGS NY QLTY FD,-15.2
BLACKROCK MUNIHLDGS QLTY FD II,-16.2
BLACKROCK MUNIHLDGS QLTY FD INC,-15.9
BLACKROCK MUNIHOLDINGS FUND II,-18.7
BLACKROCK MUNIHOLDINGS FUND INC,-18.3
BLACKROCK MUNIVEST FUND II INC,-22.2
BLACKROCK MUNIVEST FUND INC,-17.2
BLACKROCK MUNIYIELD AZ FUND INC,-3.4
BLACKROCK MUNIYIELD CA FUND INC,-21.3
BLACKROCK MUNIYIELD CA INSD FUND,-15.3
BLACKROCK MUNIYIELD FL INSD FUND,-17.4
BLACKROCK MUNIYIELD FLORIDA FUND,-15.7
BLACKROCK MUNIYIELD FUND INC,-17.4
BLACKROCK MUNIYIELD INSURED FD,-14.4
BLACKROCK MUNIYIELD MI INS FD IN,-16.5
BLACKROCK MUNIYIELD NJ FUND INC,-15.4
BLACKROCK MUNIYIELD NY INSD FD,-16.0
BLACKROCK MUNIYIELD PENN INSD FD,-18.1
BLACKROCK MUNIYIELD QLTY FUND II,-17.4
BLACKROCK MUNIYIELD QUALITY FUND,-13.5
BLACKROCK N J MUN INCOME TR,-7.8
BLACKROCK N Y MUN INC TR II,-18.2
BLACKROCK N Y MUN INCOME TR,-14.3
BLACKROCK NEW JERSEY MUNI BD TR,-4.0
BLACKROCK NY INSD MUN INCOME TR,-16.6
BLACKROCK NY MUN 2018 TERM TR,0.1
BLACKROCK NY MUNI BOND TRUST,-20.2
BLACKROCK STRATEGIC MUNICIPAL TR,-19.4
BLACKROCK VIRGINIA MUNI BD TR,-2.7
BLACKSTONE MORTGAGE TRUST INC,33.5
BLDRS INDEX FUNDS TRUST,-10.2
BLDRS INDEX FUNDS TRUST,-12.4
BLDRS INDEX FUNDS TRUST,-16.9
BLDRS INDEX FUNDS TRUST,-13.2
BLOCK H & R INC,-10.3
BLONDER TONGUE LABORATORIES INC,2.1
BLUCORA INC,-7.3
BLUE NILE INC,3.0
BLUELINX HOLDINGS INC,-26.6
BLUEPHOENIX SOLUTIONS LTD,-34.3
BOARDWALK PIPELINE PARTNERS LP,-16.2
BOB EVANS FARMS INC,-2.3
BOEING CO,-12.5
BON TON STORES INC,-32.0
BONSO ELECTRONICS INTL INC,-46.0
BOOKHAM INC,-33.1
BORGWARNER INC,-20.7
BOSTON BEER INC,5.6
BOSTON PRIVATE FINL HLDGS INC,-2.2
BOSTON PROPERTIES INC,-7.9
BOSTON SCIENTIFIC CORP,-2.3
BOTTOMLINE TECHNOLOGIES DEL INC,-9.7
BOULDER GROWTH & INCOME FUND INC,-19.6
BOVIE MEDICAL CORP,-7.0
BOWL AMERICA INC,-1.6
BOYD GAMING CORP,-23.2
BRADY CORP,-3.9
BRANDYWINE REALTY TRUST,-7.9
BRIDGFORD FOODS CORP,-10.6
BRIGGS & STRATTON CORP,7.9
BRINKER INTERNATIONAL INC,-4.9
BRINKS CO,-12.6
BRISTOL MYERS SQUIBB CO,-2.3
BRISTOW GROUP INC,-17.0
BRITISH AMERICAN TOBACCO PLC,-8.8
BROADWAY FINANCIAL CORP DEL,-6.5
BROCADE COMMUNICATIONS SYS INC,-21.6
