Year,Index,Return
10/1/1986,8325,5.1
11/1/1986,8454,1.6
12/1/1986,8219,-2.8
1/1/1987,9279,12.9
2/1/1987,9726,4.8
3/1/1987,9931,2.1
4/1/1987,9766,-1.7
5/1/1987,9813,0.5
6/1/1987,10247,4.4
7/1/1987,10689,4.3
8/1/1987,11115,4
9/1/1987,10877,-2.1
10/1/1987,8415,-22.6
11/1/1987,7790,-7.4
12/1/1987,8351,7.2
1/1/1988,8727,4.5
2/1/1988,9182,5.2
3/1/1988,9014,-1.8
4/1/1988,9106,1
5/1/1988,9126,0.2
6/1/1988,9608,5.3
7/1/1988,9536,-0.7
8/1/1988,9277,-2.7
9/1/1988,9641,3.9
10/1/1988,9810,1.8
11/1/1988,9642,-1.7
12/1/1988,9846,2.1
1/1/1989,10501,6.7
2/1/1989,10329,-1.6
3/1/1989,10560,2.2
4/1/1989,11088,5
5/1/1989,11547,4.1
6/1/1989,11473,-0.6
7/1/1989,12380,7.9
8/1/1989,12649,2.2
9/1/1989,12635,-0.1
10/1/1989,12258,-3
11/1/1989,12469,1.7
12/1/1989,12689,1.8
1/1/1990,11765,-7.3
2/1/1990,11963,1.7
3/1/1990,12259,2.5
4/1/1990,11931,-2.7
5/1/1990,13017,9.1
6/1/1990,12957,-0.5
7/1/1990,12799,-1.2
8/1/1990,11584,-9.5
9/1/1990,10945,-5.5
10/1/1990,10809,-1.2
11/1/1990,11557,6.9
12/1/1990,11911,3.1
1/1/1991,12531,5.2
2/1/1991,13493,7.7
3/1/1991,13910,3.1
4/1/1991,13944,0.3
5/1/1991,14519,4.1
6/1/1991,13863,-4.5
7/1/1991,14518,4.7
8/1/1991,14922,2.8
9/1/1991,14753,-1.1
10/1/1991,15006,1.7
11/1/1991,14435,-3.8
12/1/1991,16055,11.2
1/1/1992,16015,-0.3
2/1/1992,16234,1.4
3/1/1992,15858,-2.3
4/1/1992,16078,1.4
5/1/1992,16171,0.6
6/1/1992,15845,-2
7/1/1992,16491,4.1
8/1/1992,16141,-2.1
9/1/1992,16376,1.5
10/1/1992,16580,1.3
11/1/1992,17303,4.4
12/1/1992,17616,1.8
1/1/1993,17821,1.2
2/1/1993,17881,0.3
3/1/1993,18337,2.6
4/1/1993,17822,-2.8
5/1/1993,18376,3.1
6/1/1993,18479,0.6
7/1/1993,18461,-0.1
8/1/1993,19192,4
9/1/1993,19219,0.1
10/1/1993,19532,1.6
11/1/1993,19211,-1.6
12/1/1993,19573,1.9
1/1/1994,20183,3.1
2/1/1994,19711,-2.3
